height,length,class
23.063954848871965,38.558599751498726,2
39.21449370004146,50.03016027736679,1
24.096207483476014,45.03521499678636,0
21.800828481978215,43.024608692635205,2
39.74264950579931,51.96076088037163,1
26.171880400558834,49.59010532398923,0
19.48569184731844,40.50527711799467,2
40.38946387147805,48.95902729450341,1
25.362596931120596,48.219933951115244,0
20.98530469607794,41.23499932798164,2
38.54590950202681,49.78763309305881,1
26.622917139220398,50.074369299750714,0
23.603791175024487,41.560887100273646,2
38.279314783659586,49.1740630714198,1
19.91001233905366,48.05916228953883,0
20.766664410531384,39.23933654430116,2
38.68362421835398,50.317130301189586,1
23.889884935039564,51.07159598115255,0
21.655236482897386,42.26551909103688,2
38.545469267351244,50.86755304329479,1
26.75296918068981,49.841901908099096,0
23.0148002039876,42.40657819448762,2
35.875047267601275,49.684599511087,1
25.877026005235134,47.966146142099944,0
18.902500567248545,43.47851076538072,2
39.54558868983703,52.497703946049214,1
26.46047910956431,48.45458350577305,0
19.72144013169492,40.38487890592127,2
39.62069562512099,49.48167104335354,1
26.85942868858196,46.28805902766512,0
21.025955956935235,42.62286296021509,2
38.85982090734665,50.36291672649119,1
23.708826954114308,49.00035962975768,0
23.28905604872631,39.96312731324363,2
36.23089084446563,52.44039366217848,1
26.950812143451873,48.63771288780713,0
23.96584344333231,40.73235083024233,2
38.268923390824924,46.73774272785279,1
28.84733579559562,49.14995371763277,0
21.564357493096914,38.81387314236925,2
39.16393130215682,46.6168314293443,1
25.96246465339509,48.629722424738674,0
18.5255804449627,39.31599419948629,2
37.581618059024485,51.283023810323385,1
25.000332692093597,48.10697306745035,0
23.399054894702424,40.7893680445015,2
35.806565395459984,53.79115424835848,1
23.025000861389596,50.36138090375399,0
24.247408408659876,39.819722113145836,2
38.90157924053367,48.86054127726719,1
27.117322615421063,45.480605516996434,0
23.56278178889352,39.89165914937533,2
36.479197525992696,49.73240837542823,1
25.678113068460803,44.811573621556064,0
24.652738911919666,39.1068535300984,2
37.45623425775115,52.77214504807399,1
22.19564430673183,48.535999283401345,0
22.195008793138705,40.33832801992772,2
35.52848862569631,49.54785128225518,1
25.799774501068317,46.509435337756415,0
22.10635942652737,38.41104197780102,2
40.42625378865765,50.49450909699051,1
26.9920148623999,48.16631588317494,0
25.26078551300584,41.64699939865563,2
38.353166989814255,49.27563341774568,1
27.250776049457684,45.73759885917121,0
24.477054927407643,39.074673127234185,2
40.45834952898253,50.00913427389666,1
22.087000822364487,46.539190575950194,0
23.351089522953664,40.31720317287775,2
39.81962344091574,46.83898570896041,1
25.945233031097082,45.04632233493007,0
20.260646678145466,40.64701179591167,2
38.59510888084154,48.701464649091115,1
29.91943553242515,46.49041513741612,0
21.56564228100362,40.710484359579716,2
43.16868793081886,50.791265315116625,1
28.95848873866288,46.65809857441999,0
19.931978683001734,36.06051400591349,2
38.36948404555685,48.77893941251311,1
23.442484558355677,46.723292491082034,0
22.62198598986848,40.10816579556868,2
44.62581855011878,52.20518366211069,1
25.149352571509684,47.165247596984365,0
20.087941340795755,42.172955566053986,2
39.12955047632438,55.50685806574948,1
24.20161486524558,46.678424373062114,0
19.47904788721211,36.615663382919166,2
39.4242014174265,47.07223305193691,1
28.46422052920112,48.853778506713596,0
20.44359706153508,40.047995163239705,2
39.267491932967744,49.74891039739153,1
25.628430988765654,46.610270920268604,0
22.79327963184788,41.6102269481905,2
38.95819089332498,47.58419586235703,1
22.38566976109621,49.10170081531236,0
24.64372359558349,42.97301429642084,2
38.729372788460786,49.003513459080565,1
26.558731379705655,46.119158505217214,0
22.50985432033934,41.351595597258886,2
41.109279332617454,53.347244573175715,1
27.98646285631768,49.05070903235903,0
19.33804428891574,35.96976906865163,2
35.93227952430553,53.09242230080314,1
23.048124517958406,48.58632413275885,0
22.15676645393411,41.79651005846624,2
36.98167453051507,50.26196014907929,1
22.862434491873334,48.44126188849387,0
24.725434078286934,40.57854914943169,2
37.69886817332759,49.61381926901914,1
23.520938028510354,47.08040818867982,0
23.455622739886493,37.66930121899146,2
39.369039662224594,48.78043383432794,1
25.726024081984363,47.217964146786294,0
23.022171521238327,41.009556034417486,2
40.57754277763842,48.12464593092242,1
25.361419156256442,44.98447581611086,0
24.38548739253286,37.258330734886165,2
37.56494735692695,50.23525607288499,1
27.963067703225175,48.15954783552355,0
20.394815658161907,40.54752421528797,2
38.77317574403994,49.33248368124446,1
26.855055064775403,46.96206751084035,0
23.2055233966407,40.25115760155142,2
38.836830330964915,51.18377874974913,1
23.182232783910454,48.526786865393085,0
20.045598483300434,40.64331346138388,2
37.2503913644576,48.899730967030955,1
26.6131063371692,50.26395338203244,0
22.12494876672789,42.619933913786625,2
38.58194097181118,49.225371598406966,1
23.259277887271086,47.9366622907584,0
24.800521334631316,41.38528225516025,2
38.117908217052964,50.02822219525266,1
24.336113950621233,48.86371432531714,0
23.7661150290633,42.1163783646389,2
32.578824244438394,47.46792023415074,1
27.760075637204718,51.183748712768484,0
23.65723849313625,36.0005757480508,2
36.84218388098695,47.572905793615156,1
26.888480645616518,45.2670103238108,0
22.20131465582231,37.68322675051478,2
38.034724746543446,49.94085461151355,1
24.521676200439007,50.38117367632159,0
23.32244261252307,38.43093325669783,2
38.483552207854196,50.235762548221615,1
25.119928977349414,46.09613182375888,0
19.69579514186999,41.033890850109394,2
35.25115428266432,47.174569455369195,1
25.77066702414789,48.21224073317478,0
23.498972460799358,40.38983025665298,2
38.063281995665974,52.42262661855107,1
24.105544152750653,46.23252078318948,0
22.990893548212036,35.67815606045025,2
38.81730751630267,49.07588044047146,1
24.15025730026108,49.305356942359346,0
23.090021630816064,39.713481158604175,2
35.978370333404776,51.878260658526145,1
25.16220124893023,47.92058781328429,0
22.01728783197592,38.31731957636838,2
39.02942572739785,51.196496761659226,1
27.24765308322189,45.4404417609728,0
24.353752863237766,42.683373258878014,2
39.419506504237475,48.48194371509061,1
23.749012037465274,45.053867490955724,0
22.9987717883577,38.77203768061081,2
36.10210330409413,49.38990619545083,1
24.134677526982085,45.87746674354156,0
23.851653620036405,39.49067639593045,2
37.400846458712344,51.41010771915915,1
24.566584241414045,46.97885885893098,0
22.25584207403425,41.34272694428249,2
39.225667054683754,48.872171555292915,1
25.90689102596238,47.74019241163467,0
22.626537381799714,42.707338623213545,2
38.86531099339335,49.38454558775253,1
26.66852766430079,45.70503698717124,0
18.988574299199733,40.990991103706406,2
36.64901611418322,53.924309336707545,1
28.540392088228103,46.1683918201161,0
25.279966229893112,44.21465418617599,0
38.97034042221913,46.55124436514461,1
25.855441954570395,44.854585931866595,0
24.285800423825894,42.71785557032394,2
36.21561127303684,49.33896349294589,1
24.93446584499633,44.37549619500121,0
19.996094916008836,40.03053570742995,2
37.32874449212181,51.43335255448714,1
27.267302754363342,50.52292162187767,0
21.687932056926513,38.39795014712068,2
38.98670977861126,48.82553536081067,1
23.804306476879123,47.45463845032224,0
23.536380005178316,40.01882977111394,2
36.73928285914668,50.462715534659225,1
24.262614063342557,46.49297895160365,0
23.662637779431723,40.577635917266214,2
39.38893296894888,50.04149029717052,1
27.334512784703403,47.02958431057049,0
21.16759764994287,39.56882260417558,2
38.35132675367308,48.70866925872383,1
25.215344664746272,45.48410257369457,0
24.853574294544735,43.570982073428766,2
38.65510940912482,49.822359720040495,1
23.539531400266895,47.841004912935055,0
23.474810892437652,40.87147445507712,2
35.200071059607204,52.318415992413264,1
27.09939859438362,46.605612274707234,0
25.83996363197091,37.88234267359751,2
39.33864790597412,51.07168908372891,1
27.84068084428706,48.68292652260025,0
23.793734781518864,42.082342846089446,2
36.985681273875095,50.4532536315653,1
26.897315561583593,49.05049622338169,0
18.564688690642917,40.523964553338104,2
37.76252708826118,50.675664334904624,1
27.414084266917634,44.96743731532697,0
20.491414868431804,40.84823502716977,2
35.162926198749915,52.796325527119706,1
27.376005151854834,47.11110112150868,0
20.682381723731165,39.62536417374146,2
37.17705408276345,48.638407719091845,1
21.74739544807,47.897817314385314,0
20.19851797982774,40.42176405484966,2
41.22516840427067,51.70699468099152,1
27.849225472101363,49.17542358990722,0
22.01241705971782,37.55257374438707,2
33.989905442329004,48.5634766143945,1
26.84071282326005,44.72932578499293,0
23.35457296927573,42.50100656952027,2
